Australian:AUS_Willandra_Lakes_4000BP,-0.042115,-0.224432,-0.205154,0.215442,0.145566,-0.322398,-0.007285,0.014538,-0.000818,0.003098,-0.004872,-0.002248,0.004311,-0.001239,-0.008415,-0.000796,0.004694,-0.001774,-0.01169,-0.003377,0.003369,-0.006801,-0.000863,-0.001928,-0.00946
Australian:AUS_Barham_1600BP-1400BP,-0.039838,-0.22037,-0.19912,0.221579,0.1317165,-0.3186325,0.0003525,-0.0013845,-0.0054195,-0.001822,-0.0040595,0.0017985,-0.001561,-0.0052295,-0.005293,-0.000862,0.0031295,0.0039275,0.001257,0.0057525,0.0012475,0.001051,-0.0074565,-0.0037355,-0.003652
Southeast_Asian_Neolithic_Farmer,0.0017070,-0.3859015,-0.0642990,-0.0347225,0.1315630,0.0567540,0.0018800,-0.0110765,-0.0137030,-0.0149435,0.0696650,0.0016485,-0.0043855,0.0007570,0.0151330,-0.0048395,0.0006520,0.0000635,-0.0037085,0.0145070,-0.0027450,0.0061210,0.0024650,-0.0076520,0.0335300
Yellow_River_Neolithic_Farmer,0.0165045,-0.4505567,0.0088625,-0.0655690,0.0559077,0.0243100,0.0026242,0.0016153,-0.0102943,0.0058012,-0.0809508,-0.0106407,0.0113725,-0.0091062,-0.0091838,-0.0020330,0.0018905,0.0002958,-0.0036453,-0.0083372,0.0162422,0.0077285,0.0160633,-0.0001007,0.0055882
Baikal_Hunter-Gatherer,0.0310738,-0.415453,0.0950721,-0.0163438,-0.0859238,-0.0486106,0.005781,0.0099689,0.0147665,0.0117177,-0.0163687,-0.002368,0.0043856,-0.0069637,-0.0051711,-0.0032485,-0.0028033,0,0.0063352,0.0172208,-0.0159717,-0.0054531,-0.0160961,-0.0035425,0.0042151
Amur_River_Hunter-Gatherer,0.0208677,-0.448187,0.0687617,-0.0501727,-0.0409307,-0.0365343,0.0046217,0.0079997,0.0036133,0.0216863,-0.051802,-0.005745,0.0005453,0.0079823,-0.0090933,-0.0091047,-0.0044767,0.0074747,0.0177233,0.0116307,0.008277,-0.026462,-0.020459,-0.001968,-0.0133323
East_Siberian_Hunter-Gatherer,0.0330087,-0.4251683,0.1341293,-0.0063523,-0.1461813,-0.0743707,0.023971,0.0333063,0.0232473,0.004374,0.0686363,0.0036967,0.0013873,-0.0304143,-0.0302203,-0.0215237,0.0051283,0.0131333,0.024553,0.003335,0.032443,-0.030666,0.0060393,0.0074707,0.0146493
Jomon_Hunter-Gatherer,0.0043252,-0.343249,-0.0536268,0.0095608,0.0406846,0.0101514,0.0019742,-0.0019386,0.0215976,0.0173854,-0.0490736,-0.005605,0.006541,-0.0067708,-0.0210912,-0.0163086,0.00339,0.0105152,0.0046004,-0.008254,0.0686538,-0.0468642,0.0096874,0.0083142,-0.1002786
East_African_Pastoralist,-0.232199,0.1000295,-0.0379005,-0.083011,0.000308,-0.041973,-0.003995,-0.012346,0.121078,-0.0731675,-0.000893,-0.01079,0.010183,-0.001239,0.02443,-0.0142535,0.021383,0.0062075,-0.001571,0.003877,-0.003993,0.0063065,0.004129,0.000241,0.005987
Sub-Saharan_African:Bantu_Kenya,-0.600986,0.062455,0.014708,0.0117895,0.002,0.00753,-0.012338,0.0265375,0.0029655,-0.0244195,-0.0023545,0.013338,-0.0320365,0.003303,-0.0352875,0.025921,-0.015255,-0.0043705,-0.0152725,0.006003,0.00287,-0.0051315,-0.0030195,0.0003615,0.0022155
Sub-Saharan_African:Bantu_S.E.,-0.6293153,0.0637527,0.0201969,0.0178368,-0.0011624,0.0094514,0.0293503,-0.0129994,-0.0214296,0.0114607,0.0024178,-0.007793,-0.0111991,0.0022937,-0.009817,0.0063643,-0.0051864,0.0603178,-0.0249161,0.0034739,-0.0041872,-0.0009891,0.0023414,0.0010041,-0.0004392
